2025-02-15 23:19:18.674 [info] Starting Python Locator /home/gustavo/.vscode/extensions/ms-python.python-2025.0.0-linux-x64/python-env-tools/bin/pet server
2025-02-15 23:19:18.802 [info] Discovered env: /home/gustavo/Documentos/playlist-converter/venv/bin/python
2025-02-15 23:19:18.818 [info] Discovered env: /bin/python
2025-02-15 23:19:18.824 [info] Discovered env: /usr/bin/python
2025-02-15 23:19:18.828 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2025-02-15 23:19:18.829 [info] Discovered env: /usr/sbin/python
2025-02-15 23:19:18.835 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2025-02-15 23:19:18.835 [info] Discovered env: /sbin/python
2025-02-15 23:19:18.841 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-02-15 23:19:18.841 [info] Discovered env: /sbin/python3
2025-02-15 23:19:18.847 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-02-15 23:19:18.847 [info] Discovered env: /usr/sbin/python3
2025-02-15 23:19:18.853 [info] Env ("/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.13", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2025-02-15 23:19:18.853 [info] Discovered env: /sbin/python3.13
2025-02-15 23:19:18.858 [info] Env ("/usr/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.13", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2025-02-15 23:19:18.860 [info] Discovered env: /usr/sbin/python3.13
2025-02-15 23:19:18.868 [info] Resolved Python Environment /home/gustavo/Documentos/playlist-converter/venv/bin/python
2025-02-15 23:19:18.878 [info] Locator Conda took 112.278366ms
2025-02-15 23:19:18.878 [info] Locator Homebrew took 283.316µs
2025-02-15 23:19:18.878 [info] Locator LinuxGlobal took 151.106764ms
2025-02-15 23:19:18.878 [info] Locator PipEnv took 231.407µs
2025-02-15 23:19:18.878 [info] Locator Poetry took 1.299421ms
2025-02-15 23:19:18.878 [info] Locator PyEnv took 11.297288ms
2025-02-15 23:19:18.878 [info] Locator Venv took 25.859µs
2025-02-15 23:19:18.878 [info] Locator VirtualEnv took 115.274µs
2025-02-15 23:19:18.878 [info] Locator VirtualEnvWrapper took 31.688µs
2025-02-15 23:19:18.879 [info] Locator GlobalVirtualEnvs took 429.777µs
2025-02-15 23:19:18.879 [info] Locator Locators took 152.609297ms
2025-02-15 23:19:18.879 [info] Locator Path took 333.180756ms
2025-02-15 23:19:18.879 [info] Locator Workspaces took 41.99549ms
2025-02-15 23:19:18.879 [info] Refresh completed in 333ms
2025-02-15 23:19:18.900 [info] Resolved Python Environment /home/gustavo/Documentos/playlist-converter/venv/bin/python
2025-02-15 23:19:52.130 [info] Resolved Python Environment /home/gustavo/Documentos/playlist-converter/venv/bin/python
2025-02-15 23:22:31.664 [info] Resolved Python Environment /home/gustavo/Documentos/playlist-converter/venv/bin/python
2025-02-15 23:23:47.522 [info] Resolved Python Environment /home/gustavo/Documentos/playlist-converter/venv/bin/python
2025-02-15 23:25:26.420 [info] Resolved Python Environment /home/gustavo/Documentos/playlist-converter/venv/bin/python
