
2025/02/16 (11:47:04) | ===> btop++ v.1.4.0
2025/02/16 (11:47:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/16 (20:55:50) | ===> btop++ v.1.4.0
2025/02/16 (20:55:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/17 (14:20:20) | ===> btop++ v.1.4.0
2025/02/17 (14:20:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/17 (19:59:44) | ===> btop++ v.1.4.0
2025/02/17 (19:59:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/18 (13:46:03) | ===> btop++ v.1.4.0
2025/02/18 (13:46:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported
